"V1" "V2"
"1046" 1 3.01
"1047" 1 3.01
"1048" 1 3
"1049" 1 3.01
"1050" 1 2.93
"1051" 1 2.99
"1052" 1 3
"1053" 1 2.99
"1054" 1 3.01
"1055" 1 2.91
"1056" 1 3.01
"1057" 1 3.01
"1058" 1 3.01
"1059" 1 3
"1060" 1 3.01
"1061" 1 3.01
"1062" 1 3.01
"1063" 1 3.01
"1064" 1 3.01
"1065" 1 3.01
"1066" 1 2.89
"1067" 1 3
"1068" 1 2.94
"1069" 1 3
"1070" 1 3
"1071" 1 3
"1072" 1 3.01
"1073" 1 3
"1074" 1 3.01
"1075" 1 3.01
"1076" 1 3.01
"1077" 1 3.01
"1078" 1 3.01
"1079" 1 3.01
"1080" 1 2.95
"1081" 1 3.01
"1082" 1 3
"1083" 1 3
"1084" 1 3
"1085" 1 3.01
"1086" 1 3.01
"1087" 1 2.96
"1088" 1 3
"1089" 1 3.01
"1090" 1 2.91
"1091" 1 3.01
"1092" 1 3
"1093" 1 2.99
"1094" 1 3.01
"1095" 1 2.98
"1096" 1 3
"1097" 1 3
"1098" 1 3.01
"1099" 1 2.98
"1100" 1 3
"1101" 1 3.01
"1102" 1 3.01
"1103" 1 3.01
"1104" 1 2.98
"1105" 1 3
"1106" 1 2.99
"1107" 1 3
"1108" 1 3.01
"1109" 1 3.01
"1110" 1 3.01
"1111" 1 3
"1112" 1 3.01
"1113" 1 3
"1114" 1 3
"1115" 1 3.01
"1116" 1 3
"1117" 1 3
"1118" 1 3.01
"1119" 1 3
"1120" 1 3.01
"1121" 1 2.98
"1122" 1 2.99
"1123" 1 2.97
"1124" 1 3.01
"1125" 1 3
"1126" 1 3.01
"1127" 1 3.01
"1128" 1 3.01
"1129" 1 2.97
"1130" 1 3
"1131" 1 3.01
"1132" 1 2.89
"1133" 1 3
"1134" 1 2.86
"1135" 1 3.01
"1136" 1 3.01
"1137" 1 3.01
"1138" 1 3
"1139" 1 2.99
"1140" 1 3.01
"1141" 1 3.01
"1142" 1 2.99
"1143" 1 2.83
"1144" 1 3.01
"1145" 1 3
"1146" 1 3.01
"1147" 1 3.01
"1148" 1 3
"1149" 1 3.01
"1150" 1 3.01
"1151" 1 2.97
"1152" 1 3.01
"1153" 1 2.86
"1154" 1 3.01
"1155" 1 3
"1156" 1 3.01
"1157" 1 3.01
"1158" 1 3
"1159" 1 3
"1160" 1 3
"1161" 1 2.99
"1162" 1 3.01
"1163" 1 3.01
"1164" 1 2.98
"1165" 1 2.98
"1166" 1 3.01
"1167" 1 3.01
"1168" 1 3
"1169" 1 3.01
"1170" 1 3
"1171" 1 3
"1172" 1 3.01
"1173" 1 3
"1174" 1 3
"1175" 1 3
"1176" 1 3
"1177" 1 2.98
"1178" 1 3.01
"1179" 1 3
"1180" 1 3.01
"1181" 1 3.01
"1182" 1 3.01
"1183" 1 2.95
"1184" 1 3.01
"1185" 1 2.85
"1186" 1 3.01
"1187" 1 3.01
"1188" 1 3
"1189" 1 3.01
"1190" 1 2.97
"1191" 1 3.01
"1192" 1 2.98
"1193" 1 3.01
"1194" 1 2.97
"1195" 1 3.01
"1196" 1 3.01
"1197" 1 3.01
"1198" 1 3.01
"1199" 1 2.89
"1200" 1 3.01
"1201" 1 3
